Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_MI,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Ent_Cd,Rndrng_Prvdr_St1,Rndrng_Prvdr_St2,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Rndrng_Prvdr_Cntry,Rndrng_Prvdr_Type,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1111111111,Smith,Alice,A,M.D.,I,1 Peachtree St,,Atlanta,GA,13,30303,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Internal Medicine,Y,99213,"Office visit established patient 20-29 min",N,O,220,540,510,180.00,84.20,66.10,67.00
1111111111,Smith,Alice,A,M.D.,I,1 Peachtree St,,Atlanta,GA,13,30303,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Internal Medicine,Y,99214,"Office visit established patient 30-39 min",N,O,190,300,295,255.00,123.40,97.20,98.00
2222222222,Jones,Bob,,M.D.,I,50 Hurt Plaza,Suite 200,Atlanta,GA,13,30303,1,"Metropolitan area core",US,Cardiology,Y,93000,"Electrocardiogram complete",N,O,140,160,158,55.00,17.60,13.80,14.00
2222222222,Jones,Bob,,M.D.,I,50 Hurt Plaza,Suite 200,Atlanta,GA,13,30303,1,"Metropolitan area core",US,Cardiology,Y,93306,"Echocardiography complete",N,F,90,95,95,420.00,210.30,165.00,168.00
3333333333,Garcia,Carla,,LCSW,I,12 Oak Rd,,Savannah,GA,13,31401,7,"Small town core",US,Clinical Social Worker,Y,90837,"Psychotherapy 60 min with patient",N,O,60,410,410,180.00,132.10,104.00,106.00
4444444444,Nguyen,David,,PT,I,88 Marietta St,,Marietta,GA,13,30060,1,"Metropolitan area core",US,Physical Therapist,Y,97110,"Therapeutic exercises",N,O,75,900,880,45.00,31.20,24.60,25.00
5555555555,Peachtree Orthopaedics,,,,O,2001 Peachtree Rd,,Atlanta,GA,13,30309,1,"Metropolitan area core",US,Orthopedic Surgery,Y,29881,"Knee arthroscopy with meniscectomy",N,F,40,42,42,3800.00,612.40,480.00,486.00
6666666666,Okafor,Ada,,M.D.,I,7 Clairmont Ave,,Decatur,GA,13,30030,1,"Metropolitan area core",US,Hematology-Oncology,Y,J9299,"Injection nivolumab 1 mg",Y,O,15,240,60,9600.00,2841.00,2272.00,2270.00
7777777777,Brown,Ellen,,M.D.,I,3 Baxter St,,Athens,GA,13,30605,4,"Micropolitan area core",US,Ophthalmology,Y,66984,"Cataract surgery with intraocular lens",N,F,300,320,320,2400.00,880.50,700.00,705.00
8888888888,Lee,Frank,,M.D.,I,900 Broad St,,Augusta,GA,13,30901,4,"Micropolitan area core",US,Gastroenterology,Y,45378,"Colonoscopy diagnostic",N,F,180,190,190,900.00,340.10,270.00,272.00
9999999999,Davis,Grace,,M.D.,I,100 Main St,,Orlando,FL,12,32801,1,"Metropolitan area core",US,Internal Medicine,Y,99213,"Office visit established patient 20-29 min",N,O,210,500,480,175.00,82.00,65.00,66.00
1010101010,Wilson,Henry,,M.D.,I,200 Congress Ave,,Austin,TX,48,78701,1,"Metropolitan area core",US,Cardiology,Y,93000,"Electrocardiogram complete",N,O,160,180,178,60.00,18.00,14.00,14.20
1212121212,Martin,Irene,,M.D.,I,15 Marietta St,,Atlanta,GA,13,30303,1,"Metropolitan area core",US,Dermatology,Y,17000,"Destruction premalignant lesion first",N,O,120,600,300,140.00,72.00,57.00,58.00
NOTANPI000,Corrupt Row,,,,I,0 Nowhere,,Atlanta,GA,13,30303,1,"Metropolitan area core",US,Internal Medicine,Y,99213,"Office visit",N,O,10,10,10,100.00,80.00,64.00,64.00
1212121212,Martin,Irene,,M.D.,I,15 Marietta St,,Atlanta,GA,13,30303,1,"Metropolitan area core",US,Dermatology,Y,99213,"Office visit established patient 20-29 min",N,O,55,90,88,150.00,85.00,67.00,68.00
